akthst,linientext,total_trips,avg_delay,median_delay,pct_high_delay,delay_group,delay_color,longitude,latitude
4389001,11,598,2.4223578595317723,1.77,14.046822742474916,0-5 (Slight),#F1C40F,7.647096,51.955201
4389001,14,859,1.846763678696158,0.95,6.402793946449361,0-5 (Slight),#F1C40F,7.647096,51.955201
4389001,E11,25,5.5136,2.5,48.0,5-10 (Moderate),#E67E22,7.647096,51.955201
4389001,E14,8,3.09625,2.675,12.5,0-5 (Slight),#F1C40F,7.647096,51.955201
4389001,N84,235,0.3274893617021276,0.07,0.851063829787234,0-5 (Slight),#F1C40F,7.647096,51.955201
4390102,11,1013,2.9065745310957554,1.13,17.5715695952616,0-5 (Slight),#F1C40F,7.644303,51.955986
4390102,E11,24,4.765416666666667,1.3,25.0,0-5 (Slight),#F1C40F,7.644303,51.955986
4390102,N84,124,0.27637096774193554,-0.05,1.6129032258064515,0-5 (Slight),#F1C40F,7.644303,51.955986
4392101,18,179,1.8931284916201117,1.12,16.201117318435752,0-5 (Slight),#F1C40F,7.674066,51.905881
4392101,6,448,2.523125,1.93,11.830357142857142,0-5 (Slight),#F1C40F,7.674066,51.905881
4392101,9,728,1.4944093406593408,0.32,9.203296703296704,0-5 (Slight),#F1C40F,7.674066,51.905881
4392101,E6,11,5.783636363636363,5.35,54.54545454545454,5-10 (Moderate),#E67E22,7.674066,51.905881
4392101,N82,267,1.0346067415730338,0.28,7.865168539325842,0-5 (Slight),#F1C40F,7.674066,51.905881
4393102,9,732,1.779549180327869,0.7,8.743169398907105,0-5 (Slight),#F1C40F,7.677086,51.902746
4393102,N82,108,2.009351851851852,2.4450000000000003,4.62962962962963,0-5 (Slight),#F1C40F,7.677086,51.902746
4394102,9,475,3.5073473684210525,3.32,11.157894736842106,0-5 (Slight),#F1C40F,7.672919,51.900813
4394102,N82,155,1.1259354838709679,0.27,5.161290322580645,0-5 (Slight),#F1C40F,7.672919,51.900813
4395002,9,6652,0.6078803367408299,0.0,4.990980156343957,0-5 (Slight),#F1C40F,7.667001,51.900808
4395002,N82,2470,0.26242105263157894,0.0,2.42914979757085,0-5 (Slight),#F1C40F,7.667001,51.900808
4396101,6,530,3.2711698113207546,2.13,16.79245283018868,0-5 (Slight),#F1C40F,7.691115,51.915754
4396101,E6,29,3.0127586206896555,1.88,20.689655172413794,0-5 (Slight),#F1C40F,7.691115,51.915754
4396101,E85,2,2.2649999999999997,2.2649999999999997,0.0,0-5 (Slight),#F1C40F,7.691115,51.915754
4396101,N85,91,3.8099999999999996,2.38,36.26373626373626,0-5 (Slight),#F1C40F,7.691115,51.915754
4397102,6,884,1.972737556561086,0.33,14.479638009049776,0-5 (Slight),#F1C40F,7.670448,51.925949
4397102,E6,20,4.781499999999999,2.35,35.0,0-5 (Slight),#F1C40F,7.670448,51.925949
4397102,N85,97,4.139587628865979,3.07,30.927835051546392,0-5 (Slight),#F1C40F,7.670448,51.925949
4398102,9,540,3.1069814814814816,1.66,19.814814814814817,0-5 (Slight),#F1C40F,7.669501,51.901381
4398102,N82,285,1.5802456140350878,1.12,5.964912280701754,0-5 (Slight),#F1C40F,7.669501,51.901381
4399102,6,1100,2.2687999999999997,0.38,18.818181818181817,0-5 (Slight),#F1C40F,7.659339,51.934852
4399102,8,1321,1.2238682816048447,0.22,9.235427706283119,0-5 (Slight),#F1C40F,7.659339,51.934852
4399102,E6,54,5.348518518518518,2.05,33.33333333333333,5-10 (Moderate),#E67E22,7.659339,51.934852
4399102,E85,4,3.6675,4.715,25.0,0-5 (Slight),#F1C40F,7.659339,51.934852
4399102,N85,272,1.9462867647058824,0.19,16.911764705882355,0-5 (Slight),#F1C40F,7.659339,51.934852
4399501,6,456,3.808114035087719,2.17,31.140350877192986,0-5 (Slight),#F1C40F,7.655604,51.937029
4399501,8,484,3.783409090909091,2.34,29.958677685950413,0-5 (Slight),#F1C40F,7.655604,51.937029
4399501,E85,5,3.7840000000000003,5.33,60.0,0-5 (Slight),#F1C40F,7.655604,51.937029
4399501,N85,144,2.2904166666666668,1.12,28.47222222222222,0-5 (Slight),#F1C40F,7.655604,51.937029
4401102,7,16,1.085625,1.115,0.0,0-5 (Slight),#F1C40F,7.604215,51.924494
4401102,N81,191,3.1582722513089005,3.22,5.7591623036649215,0-5 (Slight),#F1C40F,7.604215,51.924494
4402002,7,23,0.1982608695652174,0.0,0.0,0-5 (Slight),#F1C40F,7.602848,51.922198
4402002,N81,10,1.081,-0.41500000000000004,0.0,0-5 (Slight),#F1C40F,7.602848,51.922198
4403102,7,4,1.25,0.33999999999999997,0.0,0-5 (Slight),#F1C40F,7.605193,51.926879
4403102,N81,136,1.6929411764705884,0.325,8.823529411764707,0-5 (Slight),#F1C40F,7.605193,51.926879
4404001,4,6061,1.0003794753341033,0.0,9.222900511466754,0-5 (Slight),#F1C40F,7.61587,51.93326
4404001,N81,268,1.2390298507462687,0.31,3.3582089552238807,0-5 (Slight),#F1C40F,7.61587,51.93326
4405001,4,830,1.5985542168674698,0.28,10.240963855421686,0-5 (Slight),#F1C40F,7.607467,51.930299
4405001,N81,246,1.8915447154471545,1.11,13.008130081300814,0-5 (Slight),#F1C40F,7.607467,51.930299
4406102,4,1090,2.16502752293578,1.72,12.293577981651376,0-5 (Slight),#F1C40F,7.61425,51.939655
4406102,E10,11,2.139090909090909,2.17,9.090909090909092,0-5 (Slight),#F1C40F,7.61425,51.939655
4406102,N81,106,3.8989622641509434,3.775,5.660377358490567,0-5 (Slight),#F1C40F,7.61425,51.939655
4407102,4,650,1.749492307692308,1.62,8.0,0-5 (Slight),#F1C40F,7.609001,51.936139
4407102,7,17,1.055294117647059,1.1,0.0,0-5 (Slight),#F1C40F,7.609001,51.936139
4407102,N81,245,1.5331428571428571,1.4,3.2653061224489797,0-5 (Slight),#F1C40F,7.609001,51.936139
4408001,15,542,3.214870848708487,3.28,13.653136531365314,0-5 (Slight),#F1C40F,7.608778,51.940351
4408001,16,419,2.184892601431981,2.37,7.875894988066825,0-5 (Slight),#F1C40F,7.608778,51.940351
4408001,4,1441,1.609500346981263,1.12,8.258154059680777,0-5 (Slight),#F1C40F,7.608778,51.940351
4408001,7,5,0.7819999999999999,0.2,0.0,0-5 (Slight),#F1C40F,7.608778,51.940351
4408001,E15,13,1.093846153846154,1.12,0.0,0-5 (Slight),#F1C40F,7.608778,51.940351
4408001,E84,2,1.575,1.575,0.0,0-5 (Slight),#F1C40F,7.608778,51.940351
4408001,N81,357,1.0071148459383754,0.15,1.680672268907563,0-5 (Slight),#F1C40F,7.608778,51.940351
4408001,N84,175,2.329428571428571,3.77,1.1428571428571428,0-5 (Slight),#F1C40F,7.608778,51.940351
4409102,15,867,2.4158131487889274,1.52,17.87773933102653,0-5 (Slight),#F1C40F,7.612396,51.94424
4409102,16,809,1.874548825710754,1.13,10.259579728059332,0-5 (Slight),#F1C40F,7.612396,51.94424
4409102,7,2,2.125,2.125,0.0,0-5 (Slight),#F1C40F,7.612396,51.94424
4409102,E15,1,2.05,2.05,0.0,0-5 (Slight),#F1C40F,7.612396,51.94424
4409102,E84,4,1.2025,0.17500000000000002,0.0,0-5 (Slight),#F1C40F,7.612396,51.94424
4409102,N84,240,2.12375,2.075,6.666666666666667,0-5 (Slight),#F1C40F,7.612396,51.94424
4410101,15,1266,1.291571879936809,0.36,10.66350710900474,0-5 (Slight),#F1C40F,7.615321,51.949964
4410101,16,1385,0.8801660649819495,0.33,5.92057761732852,0-5 (Slight),#F1C40F,7.615321,51.949964
4410101,7,17,0.9952941176470589,1.1,0.0,0-5 (Slight),#F1C40F,7.615321,51.949964
4410101,E10,4,1.7225000000000001,1.435,25.0,0-5 (Slight),#F1C40F,7.615321,51.949964
4410101,E15,63,-0.11825396825396825,0.0,0.0,< 0 (Early/On-time),#2ECC71,7.615321,51.949964
4410101,E84,9,1.3055555555555556,0.82,11.11111111111111,0-5 (Slight),#F1C40F,7.615321,51.949964
4410101,N84,461,0.9748156182212581,0.82,2.1691973969631237,0-5 (Slight),#F1C40F,7.615321,51.949964
4411001,10,2020,0.5773960396039604,0.0,4.603960396039604,0-5 (Slight),#F1C40F,7.570366,51.929838
4411001,16,5635,0.6471659272404614,0.0,4.330079858030168,0-5 (Slight),#F1C40F,7.570366,51.929838
4411001,20,582,0.7169587628865979,0.0,2.405498281786942,0-5 (Slight),#F1C40F,7.570366,51.929838
4411001,E10,52,3.7157692307692307,2.225,42.30769230769231,0-5 (Slight),#F1C40F,7.570366,51.929838
4411001,E15,17,4.125882352941177,2.97,23.52941176470588,0-5 (Slight),#F1C40F,7.570366,51.929838
4411001,N83,2724,0.25695301027900147,0.0,0.6240822320117474,0-5 (Slight),#F1C40F,7.570366,51.929838
